name,Mean,MCSE,StdDev,5%,50%,95%,N_Eff,N_Eff/s,R_hat
"beta[4,2]",0.16,0.042,0.31,-0.38,0.16,0.63,55.0,0.48,1.0
"beta[4,3]",-0.53,0.031,0.39,-1.3,-0.46,-0.0068,161.0,1.4,1.0
"beta[4,4]",-0.33,0.017,0.38,-1.0,-0.32,0.23,472.0,4.2,1.0
"beta[4,5]",0.26,0.045,0.34,-0.39,0.34,0.71,57.0,0.5,1.0
"beta[4,6]",1.7,0.014,0.54,0.87,1.7,2.6,1539.0,14.0,1.0
"beta[4,7]",0.99,0.016,0.59,-0.032,1.0,1.9,1277.0,11.0,1.0
"beta[4,8]",0.48,0.022,0.67,-0.72,0.52,1.5,901.0,8.0,1.0
"beta[4,9]",0.49,0.07,0.83,-0.85,0.49,1.8,141.0,1.2,1.0
"beta[4,10]",0.42,0.1,0.86,-1.0,0.47,1.7,73.0,0.64,1.0
"beta[4,11]",-1.1,0.2,1.1,-2.9,-1.0,0.46,29.0,0.26,1.1
"beta[4,12]",-1.1,0.038,0.83,-2.5,-1.0,0.22,476.0,4.2,1.0
"beta[4,13]",1.5,0.024,0.73,0.32,1.5,2.7,896.0,7.9,1.0
"beta[4,14]",-0.29,0.052,1.1,-2.1,-0.21,1.3,432.0,3.8,1.0
