# stan_version_major = 2
# stan_version_minor = 28
# stan_version_patch = 1
# model = simple_regression_model
# start_datetime = 2021-11-19 20:54:33 UTC
# method = sample (Default)
#   sample
#     num_samples = 4000
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/nc/dhtws2m1317bwzbsxq9n3_gc0000gn/T/tmp9myfn_9w/s8i_3cwj.json
# init = 2 (Default)
# random
#   seed = 1
# output
#   file = /Users/leevi/repos/bda-project/inference/simple_regression-202111192254-2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.28.1
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,beta.8,beta.9,beta.10,beta.11,beta.12,beta.13,beta.14,beta.15,beta.16,beta.17,beta.18,alpha
# Adaptation terminated
# Step size = 0.102854
# Diagonal elements of inverse mass matrix:
# 0.0158563, 0.0111864, 0.0159231, 0.0154743, 0.0152284, 0.0689109, 0.0703263, 0.0530629, 0.31438, 0.333527, 0.318299, 0.278922, 0.242557, 0.242917, 0.325902, 0.325166, 0.295688, 0.348366, 0.58639
-314.234,0.965311,0.102854,5,63,0,326.209,0.308014,0.0726466,-0.647366,-0.0938983,0.570725,1.52977,0.841779,0.952513,-0.0361847,-0.702943,0.210771,0.21174,0.602707,1.8594,0.108419,-1.96788,0.225661,-1.4123,-1.59764
-310.892,0.936726,0.102854,5,31,0,324.217,-0.0533018,0.122033,-0.605077,-0.0486545,0.550349,1.33401,1.05971,0.902528,-0.00798011,0.248881,-0.0811387,-0.225182,-0.114719,1.40582,0.521852,-2.20602,0.0920011,-1.12523,-1.01399
-310.06,0.956298,0.102854,6,63,0,317.726,0.12898,0.227084,-0.380892,-0.299573,0.386082,1.43728,0.888641,0.404011,0.707325,0.411773,0.827799,-0.839506,-0.491999,1.11015,-0.899393,-2.04179,0.238019,-0.993663,-1.28319
-310.219,0.97207,0.102854,5,31,0,317.072,-0.0543773,0.0842896,-0.397642,-0.353138,0.51049,1.40627,1.27064,0.410375,0.00490139,0.124214,0.169842,-1.20592,-1.2731,0.298877,-0.511486,-1.61032,0.663715,-0.660642,-0.433404
-311.996,0.956811,0.102854,5,31,0,319.875,-0.0285115,0.106111,-0.353618,-0.355244,0.521039,1.40858,1.35371,0.415053,0.0921759,0.0036328,-0.0389603,-1.15502,-1.01618,0.286226,-0.889518,-1.98402,0.652294,-0.498583,-0.435154
-314.781,0.874899,0.102854,6,63,0,323.056,0.345142,-0.00753734,-0.596079,0.166407,0.293996,1.17177,0.905814,1.02616,-0.715688,-1.21118,-0.750338,-0.574511,-0.564603,0.755588,-0.172148,-1.61234,0.512184,-0.0561664,-0.186374
-311.045,0.986773,0.102854,5,31,0,318.889,0.213301,0.12514,-0.50098,-0.0338404,0.374931,1.42982,1.03256,0.922596,-1.22192,-1.7164,-1.19836,-0.713354,-0.524416,0.735478,-0.566391,-0.768164,1.36158,-0.517092,-0.520041
-310.012,0.936775,0.102854,5,63,0,316.615,-0.0186486,0.131137,-0.45436,-0.208964,0.325798,1.14206,1.17483,1.14777,-0.802276,-0.631803,-0.579734,-0.730479,-0.614989,1.33366,-0.261536,-1.27788,1.03615,0.509829,-0.832112
-317.034,0.857958,0.102854,5,31,0,323.608,-0.0909342,0.0633039,-0.364354,0.0977613,0.218999,1.32261,0.973473,1.33814,-1.29461,-1.23376,-0.910267,-0.508196,0.124702,1.28028,0.414165,-1.0709,1.33689,-0.0579253,-1.03028
-310.688,1,0.102854,5,31,0,323.187,0.388327,0.106964,-0.399783,-0.178922,0.355994,1.31316,1.31092,0.775372,0.259108,0.0405761,0.468409,-0.180391,-0.374201,0.946124,-0.269707,-1.72461,0.580757,-0.278537,-1.41034
