# 0.459147, 0.596427, 0.0772521, 0.0420408, 0.0713889, 0.0949781, 0.0592562, 0.160215, 0.240218, 0.137249, 0.358169, 0.361966, 0.465596, 0.442261, 0.385216, 0.442179, 0.711826, 0.900197, 1.05653, 0.681504, 0.985556, 1.5415, 0.541838, 0.87765, 0.699401, 0.584839, 0.323979, 0.812908, 0.913291, 0.692255, 0.580001, 0.809844, 0.652701, 0.633302, 0.0275643, 0.018637, 0.0233822, 0.0276545, 0.0249958, 0.102392, 0.152467, 0.0891412, 0.417727, 0.458934, 0.528714, 0.3865, 0.376845, 0.519443, 0.100736, 0.0625329, 0.151997, 0.0888301, 0.0884602, 0.189661, 0.318602, 0.274985, 0.57944, 0.554588, 0.688965, 0.617934, 0.459358, 0.689482, 0.0553736, 0.0238563, 0.0339513, 0.0570336, 0.0377317, 0.14435, 0.219921, 0.153023, 0.430323, 0.476866, 0.527938, 0.518308, 0.433274, 0.582168, 0.098209, 0.0689708, 0.121742, 0.115524, 0.106217, 0.26733, 0.313207, 0.313627, 0.594142, 0.565831, 0.996, 0.504207, 0.426477, 0.743002
-289.571,0.936276,0.0455854,7,127,0,330.526,-3.16972,0.217482,0.0860191,0.228457,-0.267681,-0.283252,0.273252,1.02804,1.2355,0.26974,1.02212,0.424122,1.13825,-1.11147,1.56373,0.424348,0.208078,0.244955,0.679978,0.251061,0.510958,1.29824,0.329721,0.759015,0.514808,0.102493,1.47091,0.516478,0.518313,1.36763,-3.20118,-2.86864,-3.06899,-3.06221,-0.0654663,0.147996,-0.0310359,-0.210504,0.048075,0.177777,0.328569,-0.264377,-0.370259,0.211069,-0.619148,-0.54374,0.00289348,-0.486539,-0.336567,-0.187229,0.62436,1.11051,0.626999,-0.260916,1.90074,0.76283,1.36377,1.57665,2.12482,1.05791,0.980304,1.11953,1.36671,0.428269,0.160987,0.0880558,1.20555,0.465222,0.811622,1.32936,0.370715,0.474098,0.513365,0.476419,1.53038,2.08093,-0.472214,0.775072,-0.206904,-0.367578,-0.801087,-1.72632,1.61958,1.52968,2.02951,1.69278,0.507136,-0.433568,0.402407,-0.0336843
-296.81,0.852666,0.0455854,7,127,0,342.444,-3.14602,0.475141,-0.256054,-0.084854,-0.416443,-0.114029,0.662605,1.97138,1.70181,1.26085,-0.142629,0.323926,0.351843,-0.578786,1.70377,0.0403396,0.2798,0.254168,0.33377,0.20609,0.97177,0.108954,0.87222,0.379245,1.15201,0.137915,1.06196,0.529327,0.348231,0.327283,-2.52587,-3.09899,-2.71734,-2.8559,-0.0679351,0.0684354,0.193817,-0.21433,-0.0252717,0.0142234,0.335176,0.0403363,-0.583595,-0.111119,-0.731338,-0.592089,0.162057,-0.332284,-0.25537,-0.28116,0.647564,0.956268,0.82211,-0.726046,2.06123,2.02918,1.69097,1.97139,2.06753,1.24084,1.2272,2.16228,1.465,1.18386,0.35932,1.2178,0.695037,-0.643436,-0.067202,1.43967,0.310157,0.360662,0.463041,0.377465,1.75269,2.31919,-0.59727,-1.60534,-1.00736,-0.86934,-1.0407,-0.494758,1.9101,1.99454,1.85503,1.21826,0.18673,1.15028,-0.262936,0.401373
-294.125,0.986147,0.0455854,7,127,0,348.988,-1.16724,0.360608,0.131531,0.297155,-0.117895,-0.107974,0.353993,1.33191,-0.23564,0.330683,-0.724874,-0.592282,-1.00676,-1.30519,1.49984,-0.0307908,0.249035,0.555073,0.471882,0.275632,0.179999,0.546552,0.450115,0.648208,0.631346,0.134376,0.849229,0.901212,0.237536,1.24106,-1.63349,-1.32231,-1.11733,-1.11878,-0.0489911,0.365599,0.182769,-0.0767584,-0.0692333,0.288497,0.152705,-0.126563,-0.554941,-0.127486,-0.431338,-0.683101,0.0626276,0.140596,-0.46125,0.0432977,0.644865,0.760681,0.815679,0.361978,1.78565,1.18011,1.09244,1.80319,0.703699,-0.545403,0.363862,0.140624,0.982588,0.329421,0.300276,0.617261,0.0170253,-1.2125,-0.278164,-0.608037,-0.377879,-0.443209,-0.633025,-0.60957,-0.117808,-0.0906818,-1.37701,-2.86993,-0.987679,-1.31035,-1.55883,-0.629042,1.82849,1.70502,1.18751,1.8451,0.453328,1.78876,0.418243,0.350911
-293.117,0.99539,0.0455854,6,63,0,339.193,-1.08245,0.485178,0.0691332,0.264408,-0.729783,0.0866384,0.503297,1.12453,0.813939,0.7569,-0.525194,-0.403937,-1.56712,-1.04993,1.42995,0.404554,0.274561,0.283322,0.19274,0.403346,0.904125,0.53038,0.640925,0.448339,0.261317,0.15098,1.62589,0.219647,0.313985,0.804398,-1.15171,-1.79115,-0.962928,-1.30515,-0.0177479,0.470736,0.32042,-0.239993,-0.0668235,0.304297,0.313312,0.28577,-0.459224,-0.463792,-0.670941,-0.157001,0.234734,-0.0866196,-0.301457,0.170628,0.468708,0.520823,0.593329,0.331163,1.6848,1.20393,1.15903,1.90971,1.23093,0.107499,0.285181,0.220171,1.10632,0.764651,-0.356124,0.1307,-0.885924,-0.452959,-1.06017,-0.657665,-0.479765,-0.434073,-0.407188,-0.45226,0.752512,0.634064,-2.2326,-1.62974,-0.891699,-1.49146,-1.18727,-1.30613,1.44203,1.27795,2.13013,1.48273,0.617213,0.446621,0.562197,-0.979818
-292.644,0.966688,0.0455854,6,127,0,337.823,-0.942917,0.485307,-0.00114914,0.139817,-0.54669,-0.0451575,0.821547,1.6907,0.721519,0.824626,-0.515449,-0.443043,-0.932599,-1.33858,1.64719,0.290758,0.353427,0.218898,0.496175,0.354826,0.754521,0.400922,1.13977,0.699378,0.328644,0.256008,2.22902,0.410348,0.468209,0.384975,-0.938239,-1.38662,-0.981943,-1.30645,0.0399823,0.417415,0.222967,-0.202399,0.0544288,0.353754,0.511933,0.241782,-0.485461,-0.414605,-0.463352,-0.452051,0.147009,0.00885748,-0.0969126,0.196393,0.558047,0.818319,0.724618,0.202843,1.86847,0.894325,1.2254,1.93754,1.02431,0.0054366,0.240678,-0.000429539,1.16382,0.544886,-0.326231,0.402707,-0.216505,-0.401313,-0.310983,-0.257988,-0.727952,-0.42781,-0.530949,-0.152539,0.184248,1.33202,-2.41751,-1.61981,-1.05543,-1.36978,-1.17717,-0.910726,1.81237,1.1767,1.57999,1.23065,0.869761,-0.165715,0.771105,-0.290512
-288.761,0.994236,0.0455854,7,127,0,332.486,-0.598982,0.567903,0.309972,-0.00142405,-0.849885,-0.714781,-0.12831,0.530029,1.01205,0.445098,-0.656674,-0.956542,-0.118745,-1.53043,1.02387,-0.404232,0.137831,0.163374,0.385387,0.547968,0.383743,0.82886,0.80428,0.648365,0.464992,0.0813542,1.42879,0.770027,0.265748,0.401293,0.231674,-1.32847,-0.231717,-0.364093,0.197256,0.388715,0.301392,0.541942,-0.0885466,0.361385,-0.113033,-0.307134,-0.610493,-0.411449,-0.559646,-1.24338,0.124352,-0.208879,-0.383519,-0.38563,0.415535,0.422165,0.142397,0.163492,1.49271,1.71744,0.824316,1.47538,1.55293,0.993169,0.36678,0.969309,1.31327,0.615842,0.689802,1.25481,-0.393858,-0.86668,-1.02805,-0.855158,-1.11105,-0.999364,-1.01009,-0.788791,0.38072,-0.0933612,-0.530116,-1.88304,-2.24517,-2.30659,-1.36563,-1.21724,0.386165,0.711718,1.13099,0.963688,-0.622795,0.0604259,-0.715056,-0.177701
-277.661,0.921077,0.0455854,7,255,0,333.534,-1.32196,0.459027,0.24852,0.22861,-0.468057,-0.196339,0.226075,1.81516,1.12666,0.856317,-0.580942,-0.659855,-1.25467,-1.30189,1.18098,0.515947,0.152449,0.181955,0.176258,0.620814,0.166354,0.448411,0.795713,0.197243,0.404229,0.341269,1.4878,0.361676,0.215035,0.0809126,-0.781274,-1.56487,-1.33634,-1.25041,0.0791211,0.298526,0.296853,0.346025,-0.0242174,0.53623,0.548693,0.118092,-0.493258,-0.462847,-0.474135,-0.15827,0.193672,-0.160987,0.0611407,0.225927,0.41984,0.219474,0.457068,-0.325228,2.073,1.13672,1.55274,2.54134,1.3732,0.596223,0.535563,0.867394,1.02764,0.760374,0.607988,0.384441,-0.703718,-0.938978,-0.968202,-0.512614,-0.580848,-0.596289,-0.457216,-1.11122,0.38269,0.0566457,-2.80736,-3.16345,-1.48722,-1.70528,-1.21553,-1.38588,1.08277,1.54396,1.62919,1.44556,0.559057,0.554541,0.460805,0.688569
-284.201,0.328697,0.0455854,7,127,0,318.894,-1.29073,0.956559,0.47369,0.3698,-0.553763,0.11966,-0.0171477,1.8165,-0.282663,1.28419,-0.562966,-0.966501,-1.52017,-1.15524,1.86866,0.292468,0.27942,0.718447,0.108285,0.127915,0.596866,0.454439,1.54873,0.322759,0.47913,0.380204,1.4185,0.0899728,0.718374,0.660171,-0.995483,-1.96588,-1.87512,-1.30884,0.190581,0.588683,0.523694,0.172596,0.0235888,0.506979,0.302464,0.001556,-0.511146,-0.704423,-0.58012,-0.490466,0.0916531,-0.0271722,0.191268,-0.101318,0.332129,0.181397,0.181448,0.362861,2.47424,1.50763,1.55797,2.46935,1.85727,0.459682,-0.0891676,1.11572,0.860667,0.821294,1.18114,1.2828,-1.30983,-0.933171,-0.786599,-0.79808,-1.3136,-0.70236,-1.10501,-0.762925,-0.691211,0.749461,-0.936592,-3.53193,-1.17667,-1.21484,-1.20275,-1.26085,1.93705,1.58114,1.93179,2.08374,0.206589,0.68526,0.640621,-0.290607
-282.672,0.826432,0.0455854,6,127,0,334.294,-1.26758,0.549969,0.454409,0.269851,-0.63642,0.0472853,0.25787,1.49138,0.457173,0.994198,-1.17721,-1.2255,-0.260537,-1.04934,1.01309,-0.10363,0.252971,0.526523,0.137719,0.277551,0.147622,0.921546,0.964697,0.158536,0.176111,0.146763,1.18119,0.172109,0.648306,0.569741,-0.518795,-1.53839,-1.61195,-0.983064,0.0801933,0.411662,0.756849,0.735787,-0.0868671,0.578555,0.287142,-0.262917,-0.567037,-0.705401,-0.575916,-0.546324,0.110022,-0.139451,-0.158703,0.363408,0.51769,0.171062,0.062542,0.26747,1.94621,1.82406,1.81229,1.58853,2.49993,0.300799,-0.604747,-0.386045,1.23844,1.0938,0.952639,0.694196,-1.27667,-1.26503,-1.32386,-1.23225,-0.994135,-1.50401,-1.25439,-1.06076,-0.255858,-0.510864,-1.51149,-2.78373,-1.03185,-0.863226,-0.879799,-0.899533,1.0812,1.40383,1.91867,1.50878,-0.259896,0.204209,0.227005,0.120602
-284.666,0.983113,0.0455854,7,255,0,325.833,0.0505944,0.420866,0.501202,-0.0622625,-0.402171,-0.0246623,0.477442,1.31901,1.64424,0.542942,-1.69523,-0.794463,-1.6749,-0.922384,0.919151,0.74339,0.615013,0.193482,0.197094,0.411715,0.412609,0.409266,0.448131,0.126023,0.182534,0.744923,0.909664,0.674635,0.390797,0.418081,0.0976291,-0.91222,0.118672,-0.788941,-0.0198574,0.459402,0.218405,0.0962976,0.0503978,0.494366,0.035579,0.132901,-0.541362,-0.13912,-0.197238,-0.554299,-0.0630191,-0.241446,-0.853495,-0.0424573,0.370245,0.680305,0.535524,0.213986,1.64023,1.08107,1.2722,1.6646,1.04206,1.25202,1.01102,1.66334,0.77437,0.444031,0.524378,0.712767,-1.82019,-1.88205,-1.76025,-1.6306,-2.42456,-0.408279,-0.756648,-1.16887,-1.06896,-0.635547,-2.77923,-2.7423,-0.551102,-1.63336,-1.75578,-0.769198,1.89456,1.25701,1.06433,1.48137,0.830232,0.397112,0.411899,0.356651
