# stan_version_major = 2
# stan_version_minor = 28
# stan_version_patch = 1
# model = simple_regression_model
# start_datetime = 2021-11-19 20:54:33 UTC
# method = sample (Default)
#   sample
#     num_samples = 4000
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/nc/dhtws2m1317bwzbsxq9n3_gc0000gn/T/tmp9myfn_9w/s8i_3cwj.json
# init = 2 (Default)
# random
#   seed = 1
# output
#   file = /Users/leevi/repos/bda-project/inference/simple_regression-202111192254-1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.28.1
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,beta.8,beta.9,beta.10,beta.11,beta.12,beta.13,beta.14,beta.15,beta.16,beta.17,beta.18,alpha
# Adaptation terminated
# Step size = 0.11757
# Diagonal elements of inverse mass matrix:
# 0.0136173, 0.0138888, 0.0118749, 0.013463, 0.0126246, 0.0781819, 0.0702101, 0.0615243, 0.246044, 0.26055, 0.274179, 0.261449, 0.237412, 0.233385, 0.286068, 0.347396, 0.353434, 0.388187, 0.484964
-308.468,0.984867,0.11757,5,31,0,312.983,0.154746,-0.0231853,-0.510753,-0.0900283,0.385007,1.62808,1.18098,0.880202,0.1373,-0.0443632,-0.0793428,-0.711581,-0.288519,1.48481,-0.0953365,-2.00557,0.289935,-0.849973,-1.46775
-311.175,0.992918,0.11757,5,31,0,317.647,0.246272,0.217769,-0.404777,-0.232366,0.450352,1.07692,1.08667,0.977265,-0.432844,-0.254679,-0.0953893,-1.6883,-0.81683,0.633293,-0.266671,-1.45401,0.625426,-0.8745,-0.272393
-309.444,0.996879,0.11757,4,31,0,317.015,0.217643,0.151824,-0.443635,-0.0882401,0.376039,1.367,0.872477,0.935629,0.197022,-0.26017,-0.0489816,-1.13859,-1.63755,0.0588837,-1.34325,-1.84041,0.659214,-0.706933,-0.1948
-310.527,0.91584,0.11757,6,63,0,316.617,0.232909,0.202491,-0.3048,-0.21578,0.37105,1.22465,1.00423,0.571037,-0.410941,-0.444668,-0.206537,-0.351593,0.209968,1.95075,0.160231,-1.41182,1.24816,-0.157057,-1.89686
-310.601,0.875645,0.11757,5,63,0,320.138,-0.0524243,0.0640823,-0.691495,-0.159666,0.402946,1.32916,1.00176,1.16211,-0.648189,-0.741129,-0.263095,-1.84566,-1.62196,-0.14582,-1.28956,-1.45161,0.920851,-0.289849,0.119917
-313.813,0.982223,0.11757,4,15,0,316.393,-0.152018,0.0975937,-0.667799,-0.141448,0.326438,1.05314,0.882448,1.12191,-0.698173,-0.416176,-0.421591,-1.75961,-1.85979,-0.139816,-0.960991,-1.39027,1.09557,-0.393352,0.495758
-313.901,0.708538,0.11757,5,63,0,324.565,0.388363,-0.0258537,-0.226539,-0.243728,0.490187,1.72819,1.43527,0.514317,-0.43913,-0.254404,-0.429831,-0.291758,-0.619152,1.31742,-0.420247,-2.08975,0.461215,-1.32367,-0.711197
-311.852,0.992687,0.11757,5,31,0,323.477,0.400969,0.00307411,-0.364176,-0.0482053,0.31496,1.40492,1.26743,0.554057,-0.0398485,-0.506588,-0.24756,-0.953852,-0.369701,1.45073,0.235224,-1.89238,0.693649,-0.356629,-1.36299
-311.097,0.941032,0.11757,5,31,0,318.396,0.076808,0.164683,-0.540424,-0.103915,0.49136,1.24884,0.751889,1.29821,0.0485729,-0.253762,0.218646,-0.37863,-0.126125,1.55896,0.102665,-2.25431,-0.100274,-0.992991,-0.797197
-312.55,0.997613,0.11757,5,31,0,319.589,0.187966,-0.00257398,-0.477033,-0.0605794,0.578354,1.46198,1.14021,0.798249,0.350771,0.294734,0.131029,0.167588,-0.0204225,1.7234,0.556474,-2.51956,-0.279326,-2.25071,-1.16301
