# 0.561205, 0.546166, 0.0591219, 0.0456937, 0.0776804, 0.065082, 0.0498375, 0.149734, 0.175114, 0.164745, 0.385285, 0.304525, 0.494358, 0.298692, 0.31513, 0.306863, 0.770319, 1.19721, 0.80138, 0.568083, 0.833782, 1.09969, 0.813507, 1.12311, 0.535014, 1.04252, 0.150186, 0.908728, 1.00035, 1.24113, 0.586591, 0.642052, 0.662716, 0.674018, 0.0237711, 0.0175136, 0.0234065, 0.0274232, 0.0238087, 0.0941064, 0.157874, 0.0868923, 0.363218, 0.375071, 0.433206, 0.333906, 0.292247, 0.359156, 0.076986, 0.0751522, 0.147665, 0.078341, 0.0688397, 0.211617, 0.324056, 0.258888, 0.493426, 0.522536, 0.732319, 0.514008, 0.3911, 0.647748, 0.0444299, 0.0249462, 0.0373544, 0.0604884, 0.035641, 0.170115, 0.209424, 0.161086, 0.416749, 0.42405, 0.597968, 0.39435, 0.357188, 0.47951, 0.0819794, 0.0531073, 0.102384, 0.114873, 0.0912402, 0.294494, 0.298591, 0.408231, 0.48267, 0.538509, 0.79446, 0.420299, 0.372923, 0.561658
-277.624,0.56767,0.0311956,6,79,0,314.378,-0.692972,0.0306808,0.203077,0.43486,-0.704302,0.00929739,0.590212,0.100818,0.552384,0.623257,-0.282192,0.0510887,-0.446731,-1.78554,0.27097,-0.486392,0.197764,0.293709,0.114259,0.465755,0.415521,1.42813,0.205434,0.276584,0.54999,0.0866283,1.24169,0.907825,1.36101,0.368813,-0.67046,-0.709908,-0.675446,-0.702349,0.0583918,0.221907,0.188859,-0.269494,0.232654,0.751632,0.305181,0.141572,-0.703405,-0.848205,-0.78121,-0.784716,0.134129,-0.0141709,-0.524685,-0.692127,0.346678,0.647656,0.611315,0.495262,1.88622,1.76318,0.470026,2.61261,0.842437,0.755653,0.405679,0.371863,0.894776,0.512423,0.648629,0.677934,0.327896,-0.133048,-0.342175,-0.317472,0.0794574,0.0158039,0.0180773,-0.138327,0.226374,1.14682,-0.949683,-3.53347,-1.8351,-3.29041,-1.31096,-1.99685,0.642645,-1.24757,0.788499,1.36534,-1.0175,-0.536862,-0.631016,-0.315893
-277.182,0.476285,0.0311956,4,16,1,320.239,-0.677548,0.0258046,0.173116,0.424312,-0.751339,-0.0304779,0.594703,0.131284,0.457944,0.623466,-0.173587,-0.00145968,-0.495246,-1.83747,0.231243,-0.554755,0.19176,0.243462,0.1069,0.443032,0.425393,1.37871,0.208392,0.311256,0.571187,0.0732085,1.28678,0.893209,1.51572,0.374762,-0.689994,-0.708892,-0.698347,-0.655793,0.0771577,0.241865,0.221168,-0.330951,0.199306,0.717868,0.289299,0.181415,-0.704289,-0.786456,-0.772588,-0.709856,0.165528,-0.0354792,-0.53595,-0.68997,0.333434,0.658746,0.600835,0.485216,1.82249,1.81744,0.414538,2.63577,0.848674,0.65714,0.469535,0.382115,0.950982,0.502707,0.573681,0.536873,0.31319,-0.0468921,-0.288683,-0.196989,-0.0309606,0.110716,-0.0461157,-0.0264307,0.18451,1.05004,-0.986221,-3.51572,-1.82021,-3.34385,-1.32224,-2.11222,0.593045,-1.27073,0.811783,1.4228,-1.10373,-0.685076,-0.679559,-0.351686
-275.647,0.0788393,0.0311956,4,19,1,315.783,-0.656868,0.025188,0.163065,0.425474,-0.75709,-0.0355399,0.599983,0.12413,0.447901,0.614043,-0.179417,-0.0248564,-0.467485,-1.82791,0.250689,-0.573321,0.194873,0.245228,0.108124,0.443445,0.435285,1.37947,0.205451,0.314653,0.597702,0.0759444,1.28534,0.907863,1.50643,0.371173,-0.655458,-0.67773,-0.666584,-0.648493,0.0756534,0.235106,0.217444,-0.337213,0.201276,0.71434,0.289972,0.196401,-0.696652,-0.805297,-0.771089,-0.705022,0.166342,-0.0348128,-0.522256,-0.670687,0.339149,0.657696,0.600668,0.47641,1.80855,1.81749,0.415339,2.62395,0.837511,0.63909,0.457696,0.35904,0.942457,0.481126,0.580388,0.537159,0.30991,-0.0699797,-0.286991,-0.215523,-0.0140368,0.104609,-0.0101247,-0.0662662,0.167197,1.03687,-0.989421,-3.48945,-1.82006,-3.34214,-1.33249,-2.11236,0.629086,-1.27941,0.813511,1.38793,-1.07997,-0.673351,-0.657012,-0.325097
-280.829,0.12173,0.0311956,4,23,0,323.472,-0.661771,0.0254533,0.161934,0.426334,-0.772875,-0.0429241,0.601895,0.129448,0.448838,0.623792,-0.18134,-0.0526967,-0.416131,-1.83378,0.228576,-0.575253,0.187228,0.235324,0.112807,0.427769,0.434894,1.32227,0.202434,0.320541,0.605048,0.075327,1.29599,0.926123,1.50221,0.368862,-0.700086,-0.655332,-0.6511,-0.633094,0.0864449,0.245173,0.226119,-0.32297,0.194946,0.714931,0.290507,0.196077,-0.703881,-0.779692,-0.76738,-0.699014,0.166336,-0.0336559,-0.516425,-0.66587,0.335513,0.6538,0.594956,0.468007,1.80182,1.83679,0.409847,2.61722,0.851812,0.66236,0.480922,0.366512,0.942899,0.479191,0.571077,0.562952,0.346248,-0.0865924,-0.308158,-0.217275,0.038934,0.13183,0.00994142,-0.0496321,0.158711,1.05246,-0.970948,-3.49809,-1.81243,-3.34561,-1.33881,-2.09876,0.624792,-1.31278,0.803142,1.40296,-1.10124,-0.663949,-0.622084,-0.325125
-278.5,0.0179392,0.0311956,6,95,0,310.951,-0.653231,0.0252993,0.156418,0.420114,-0.782492,-0.0459538,0.602879,0.130317,0.451494,0.61653,-0.170534,-0.0297604,-0.402923,-1.8402,0.253225,-0.579572,0.190191,0.239382,0.114374,0.417463,0.422707,1.30764,0.201994,0.332178,0.606366,0.0768046,1.2986,0.946814,1.55565,0.347444,-0.636797,-0.615569,-0.67031,-0.659633,0.0860729,0.251673,0.232077,-0.318869,0.184867,0.719967,0.294132,0.202005,-0.697838,-0.77883,-0.769838,-0.695814,0.163257,-0.0334401,-0.520803,-0.683998,0.332599,0.654543,0.603655,0.47474,1.81147,1.8296,0.401612,2.60332,0.841633,0.643847,0.453387,0.368419,0.94037,0.47823,0.567302,0.559706,0.367687,-0.0640555,-0.306157,-0.216892,0.0186565,0.126507,0.0278569,-0.040313,0.14967,1.06461,-0.975322,-3.45179,-1.79605,-3.34897,-1.357,-2.09068,0.619989,-1.32206,0.800306,1.4113,-1.09341,-0.65318,-0.593991,-0.32582
-278.679,0.0073128,0.0311956,5,47,0,325.065,-0.647149,0.0254044,0.153218,0.421722,-0.777606,-0.0538428,0.615195,0.108142,0.453481,0.609237,-0.185225,-0.0145693,-0.428157,-1.80465,0.281107,-0.580756,0.197375,0.23348,0.108993,0.39789,0.430693,1.31642,0.206254,0.33134,0.632534,0.0794856,1.26453,0.961403,1.51151,0.339703,-0.597705,-0.613204,-0.646412,-0.649897,0.086707,0.263759,0.236647,-0.330588,0.17954,0.720907,0.294798,0.199538,-0.690225,-0.783535,-0.770103,-0.693364,0.166574,-0.0210212,-0.510033,-0.688366,0.331293,0.649484,0.60804,0.483394,1.82398,1.85661,0.410906,2.61252,0.832457,0.642538,0.458368,0.316935,0.95088,0.481428,0.567907,0.572322,0.368728,-0.0509616,-0.269183,-0.231738,0.0228698,0.104646,-0.00338803,-0.0693322,0.133966,1.09003,-0.965263,-3.45744,-1.79471,-3.32623,-1.37155,-2.06547,0.611505,-1.31028,0.79909,1.41301,-1.08333,-0.641952,-0.597066,-0.324537
-276.022,0.0290683,0.0311956,5,47,0,329.314,-0.61524,0.0255751,0.148512,0.423124,-0.77186,-0.0477667,0.60496,0.113102,0.468626,0.62562,-0.190632,-0.0153659,-0.45381,-1.81112,0.301176,-0.564185,0.189799,0.241261,0.109018,0.381245,0.432109,1.32845,0.212325,0.317267,0.618873,0.082016,1.26306,0.901146,1.44116,0.342398,-0.624148,-0.620438,-0.606922,-0.602307,0.0812599,0.264255,0.234817,-0.330554,0.178428,0.739663,0.299008,0.190715,-0.684967,-0.78659,-0.769327,-0.704382,0.166979,-0.0289655,-0.506292,-0.705776,0.322989,0.658258,0.615699,0.477984,1.81388,1.84066,0.443881,2.59948,0.836462,0.604577,0.478574,0.30144,0.942219,0.477647,0.5671,0.584562,0.394043,-0.0577762,-0.248121,-0.263532,0.0406047,0.0993025,0.000989237,-0.0157659,0.132582,1.08796,-0.951701,-3.48812,-1.80969,-3.31985,-1.35082,-2.02175,0.634743,-1.32134,0.813299,1.37355,-1.0948,-0.670691,-0.562611,-0.322435
-276.022,4.66051e-08,0.0311956,4,31,0,319.925,-0.61524,0.0255751,0.148512,0.423124,-0.77186,-0.0477667,0.60496,0.113102,0.468626,0.62562,-0.190632,-0.0153659,-0.45381,-1.81112,0.301176,-0.564185,0.189799,0.241261,0.109018,0.381245,0.432109,1.32845,0.212325,0.317267,0.618873,0.082016,1.26306,0.901146,1.44116,0.342398,-0.624148,-0.620438,-0.606922,-0.602307,0.0812599,0.264255,0.234817,-0.330554,0.178428,0.739663,0.299008,0.190715,-0.684967,-0.78659,-0.769327,-0.704382,0.166979,-0.0289655,-0.506292,-0.705776,0.322989,0.658258,0.615699,0.477984,1.81388,1.84066,0.443881,2.59948,0.836462,0.604577,0.478574,0.30144,0.942219,0.477647,0.5671,0.584562,0.394043,-0.0577762,-0.248121,-0.263532,0.0406047,0.0993025,0.000989237,-0.0157659,0.132582,1.08796,-0.951701,-3.48812,-1.80969,-3.31985,-1.35082,-2.02175,0.634743,-1.32134,0.813299,1.37355,-1.0948,-0.670691,-0.562611,-0.322435
-276.022,0.000907207,0.0311956,3,9,1,322.099,-0.61524,0.0255751,0.148512,0.423124,-0.77186,-0.0477667,0.60496,0.113102,0.468626,0.62562,-0.190632,-0.0153659,-0.45381,-1.81112,0.301176,-0.564185,0.189799,0.241261,0.109018,0.381245,0.432109,1.32845,0.212325,0.317267,0.618873,0.082016,1.26306,0.901146,1.44116,0.342398,-0.624148,-0.620438,-0.606922,-0.602307,0.0812599,0.264255,0.234817,-0.330554,0.178428,0.739663,0.299008,0.190715,-0.684967,-0.78659,-0.769327,-0.704382,0.166979,-0.0289655,-0.506292,-0.705776,0.322989,0.658258,0.615699,0.477984,1.81388,1.84066,0.443881,2.59948,0.836462,0.604577,0.478574,0.30144,0.942219,0.477647,0.5671,0.584562,0.394043,-0.0577762,-0.248121,-0.263532,0.0406047,0.0993025,0.000989237,-0.0157659,0.132582,1.08796,-0.951701,-3.48812,-1.80969,-3.31985,-1.35082,-2.02175,0.634743,-1.32134,0.813299,1.37355,-1.0948,-0.670691,-0.562611,-0.322435
-279.682,0.00177284,0.0311956,5,31,0,324.108,-0.642238,0.0260124,0.142944,0.420083,-0.789468,-0.0540925,0.597248,0.121158,0.488485,0.647751,-0.20825,-0.00250079,-0.48529,-1.79716,0.310627,-0.590345,0.178598,0.243492,0.105991,0.392733,0.447932,1.38531,0.217298,0.31734,0.611696,0.0840409,1.25604,0.881385,1.51371,0.334596,-0.605777,-0.601903,-0.599707,-0.636821,0.0841787,0.256025,0.234022,-0.315213,0.175633,0.725792,0.305885,0.189211,-0.688356,-0.797076,-0.756341,-0.704666,0.162093,-0.0339687,-0.515103,-0.721419,0.316442,0.665496,0.620423,0.486008,1.82381,1.83948,0.448628,2.61018,0.848962,0.614843,0.465793,0.32585,0.938688,0.469738,0.568293,0.574697,0.395937,-0.0843534,-0.234922,-0.251911,0.0346191,0.126157,-0.0210108,-0.0180426,0.131721,1.1492,-0.972643,-3.50264,-1.79939,-3.3389,-1.3627,-2.05001,0.624536,-1.34228,0.788085,1.35314,-1.0906,-0.675755,-0.554546,-0.337592
