# stan_version_major = 2
# stan_version_minor = 28
# stan_version_patch = 1
# model = simple_regression_model
# start_datetime = 2021-11-19 20:54:33 UTC
# method = sample (Default)
#   sample
#     num_samples = 4000
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = /var/folders/nc/dhtws2m1317bwzbsxq9n3_gc0000gn/T/tmp9myfn_9w/s8i_3cwj.json
# init = 2 (Default)
# random
#   seed = 1
# output
#   file = /Users/leevi/repos/bda-project/inference/simple_regression-202111192254-3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.28.1
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,beta.8,beta.9,beta.10,beta.11,beta.12,beta.13,beta.14,beta.15,beta.16,beta.17,beta.18,alpha
# Adaptation terminated
# Step size = 0.128004
# Diagonal elements of inverse mass matrix:
# 0.0146554, 0.0131671, 0.0150573, 0.0176806, 0.016463, 0.0680324, 0.075748, 0.0551691, 0.316704, 0.334436, 0.327615, 0.256452, 0.235878, 0.215836, 0.297617, 0.271991, 0.262525, 0.309256, 0.454736
-312.178,0.923022,0.128004,5,31,0,320.863,0.237595,0.000981452,-0.483983,-0.17992,0.294749,1.42647,1.10513,0.968271,0.565703,0.644512,0.28,-1.54045,-1.73109,0.292914,-1.23126,-2.26929,0.118949,-1.18991,-0.252158
-310.445,0.999984,0.128004,5,31,0,314.99,0.249078,-0.0311495,-0.456468,-0.000658947,0.404786,1.34609,1.07396,1.19993,0.397093,-0.192428,0.560797,-1.45541,-1.178,0.0480314,-1.04503,-1.93201,0.227118,-1.02997,-0.458362
-310.932,0.859856,0.128004,5,63,0,324.443,0.0720348,0.189894,-0.53,-0.210051,0.491386,1.23341,1.25412,0.625991,-1.22626,-0.70422,-1.05058,-0.165211,0.214358,2.04795,0.14088,-1.50885,0.965148,-0.379357,-0.923036
-310.84,0.987522,0.128004,5,31,0,318.472,0.338858,-0.0422794,-0.465998,0.0220459,0.379442,1.25916,0.941957,1.2162,0.424612,0.792543,0.30438,-1.19126,-0.92922,0.861414,-0.447881,-2.10183,0.617942,-0.904869,-1.19703
-310.978,0.994361,0.128004,4,15,0,316.103,0.450525,-0.101691,-0.496643,0.0507489,0.293836,1.22111,0.930881,1.0609,0.408364,0.465881,0.805585,-1.17004,-0.813287,0.732264,-0.318268,-1.76105,0.494406,-1.04994,-1.18959
-313.981,0.941961,0.128004,5,63,0,323.359,0.217016,0.0660983,-0.518843,-0.124806,0.515032,1.83674,0.838184,1.34596,0.293077,6.07925e-05,0.845026,-1.34836,-1.69048,0.189366,-1.4282,-1.03592,1.17155,0.0238656,-1.64581
-314.906,0.859183,0.128004,5,31,0,330.063,0.384113,-0.162812,-0.306673,-0.0874025,0.389358,1.1882,1.68431,0.493423,-0.21086,-0.231307,-0.0519417,-1.7457,-1.01483,0.492109,-0.83519,-1.31486,1.24735,-0.551626,-0.654671
-312.373,0.974008,0.128004,5,31,0,322.206,0.41713,-0.172934,-0.379106,-0.0334313,0.299497,1.41598,1.1072,1.27611,-0.423525,-0.497409,-0.374018,-1.14891,-1.6615,0.281292,-1.14533,-1.0479,1.3885,0.43993,-0.975643
-311.752,0.978071,0.128004,5,31,0,322.239,0.00516796,0.409854,-0.534681,-0.263562,0.5432,1.19268,1.30239,0.521616,-0.0598291,-0.331563,0.0726434,-0.679356,-0.41054,1.19918,-0.68075,-2.06791,0.252063,-0.895559,-0.437953
-319.243,0.937362,0.128004,5,31,0,328.358,0.392552,-0.187631,-0.353195,0.0628743,0.554931,1.41074,0.751389,1.54346,-0.744969,-0.860986,-1.01484,-0.647117,-1.0304,0.755088,-0.532436,-0.143209,2.07686,0.722751,-1.87319
-315.204,1,0.128004,5,31,0,326.957,0.0164344,0.312569,-0.431889,-0.234163,0.0372366,1.54966,1.22652,0.475057,-0.356468,-0.496877,-0.230039,-1.34834,-1.24044,0.710503,-0.713531,-1.05154,1.61248,0.647009,-1.15039
-311.239,0.988376,0.128004,5,31,0,323.578,0.0986094,0.157002,-0.581308,-0.262755,0.7177,1.08514,1.32451,0.300757,-0.452371,-0.609631,-0.336665,-1.30653,-1.02537,0.547226,-0.992035,-0.829574,1.38021,-0.190837,-0.491192
