# stan_version_major = 2
# stan_version_minor = 28
# stan_version_patch = 1
# model = simple_regression_model
# start_datetime = 2021-11-19 20:54:33 UTC
# method = sample (Default)
#   sample
#     num_samples = 4000
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = /var/folders/nc/dhtws2m1317bwzbsxq9n3_gc0000gn/T/tmp9myfn_9w/s8i_3cwj.json
# init = 2 (Default)
# random
#   seed = 1
# output
#   file = /Users/leevi/repos/bda-project/inference/simple_regression-202111192254-4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.28.1
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,beta.8,beta.9,beta.10,beta.11,beta.12,beta.13,beta.14,beta.15,beta.16,beta.17,beta.18,alpha
# Adaptation terminated
# Step size = 0.109086
# Diagonal elements of inverse mass matrix:
# 0.0128369, 0.0128228, 0.0144148, 0.015798, 0.0147637, 0.0664521, 0.0678537, 0.0590438, 0.307359, 0.322504, 0.317978, 0.2908, 0.263293, 0.275524, 0.309121, 0.257517, 0.27102, 0.324738, 0.55047
-307.641,0.943246,0.109086,5,63,0,314.523,0.14145,0.0222346,-0.354891,-0.156855,0.381672,1.01029,1.25545,0.644832,0.0298725,-0.193431,0.519076,-1.13938,-0.847329,0.760441,-0.820913,-1.4273,0.821457,-0.624693,-0.739079
-307.445,0.759319,0.109086,6,63,0,313.54,0.189443,0.0801555,-0.368962,-0.298557,0.395114,1.06403,1.2246,0.797754,-0.807561,-1.16485,-0.675499,-0.524453,-0.190379,1.33491,0.0973728,-1.31565,0.795823,-0.78757,-0.719844
-307.89,0.992015,0.109086,5,31,0,316.625,0.243104,0.143179,-0.558264,0.0111831,0.463044,1.561,0.886487,1.06896,-0.45935,-0.537203,-0.163025,-1.37855,-0.938247,0.461281,-0.360322,-1.63748,0.902769,-0.79006,-0.557371
-310.448,0.937839,0.109086,6,63,0,320.825,0.141261,0.026012,-0.420915,-0.252876,0.29961,1.12962,1.18121,0.79039,-1.53152,-1.74047,-1.36757,-1.21205,-0.717552,0.928358,-1.14948,-1.2644,1.02203,-0.0254072,0.418979
-315.066,0.691561,0.109086,6,63,0,324.339,0.139952,0.0111,-0.426673,-0.253384,0.245427,1.12261,1.14511,0.776259,-1.54866,-1.93117,-1.87411,-1.10024,-0.617169,1.01928,-0.945274,-1.39635,1.33525,0.236958,0.269307
-317.16,0.984291,0.109086,5,31,0,324.483,-0.0223326,-0.0217349,-0.333388,-0.257451,0.270006,1.5161,1.18456,1.11412,-1.40173,-1.73867,-1.62446,-0.873019,-1.10941,0.778289,0.0841847,-1.25011,1.68422,0.251287,-0.333277
-314.961,0.984734,0.109086,6,63,0,328.764,0.223322,0.0697771,-0.70775,-0.0470069,0.435786,1.22925,0.679733,0.595361,1.03536,0.524352,1.16627,-1.31259,-0.790846,1.12564,-0.598164,-2.10255,0.194063,-1.56532,-1.27529
-314.544,0.994021,0.109086,6,63,0,322.791,0.264919,0.130179,-0.535774,0.0703656,0.53595,1.18263,0.508715,0.88535,-1.12855,-0.770486,-0.910069,-0.512886,-0.756494,1.26751,-0.787114,-0.223154,2.32863,0.189255,-1.44244
-312.692,0.990316,0.109086,5,31,0,325.098,0.288357,0.0195039,-0.421615,-0.0997465,0.453071,1.42479,1.51808,0.567339,-1.36032,-1.47306,-1.14521,-0.716008,-0.161652,1.79389,0.451785,-1.01465,1.38823,0.252427,-1.19718
-313.814,0.785746,0.109086,5,31,0,323.6,0.304403,0.148984,-0.560092,0.0148559,0.474929,1.36655,1.38199,0.670465,-0.978997,-1.65144,-1.23875,-0.379753,-0.498911,1.46574,-0.0644247,-1.41274,1.33243,0.200235,-1.01329
-311.876,0.996313,0.109086,5,31,0,321.489,0.23898,0.151186,-0.593266,0.0725303,0.547889,0.911722,1.28777,0.82648,-0.802377,-0.543639,-0.877699,-0.735197,-0.504698,1.33069,-0.417033,-0.627618,2.03606,-0.0577019,-1.43106
-311.741,0.947714,0.109086,5,31,0,322.871,0.0870245,0.0468263,-0.360279,-0.417867,0.255805,1.47142,0.67104,0.979598,-1.07469,-1.16362,-0.985644,-0.802719,-0.474506,1.30523,-0.277582,-1.76648,0.544153,-0.72635,-0.177996
-319.647,0.946368,0.109086,5,31,0,326.668,0.350252,-0.008572,-0.534539,0.283439,0.491015,1.17999,1.48834,0.898486,0.0528637,0.542482,0.0640163,-0.281549,0.368989,1.61606,0.325644,-2.10098,0.807034,-0.805157,-1.78356
